School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ANNIE WRIGHT SCHOOL,2015-16,22,86.4%,0.0%,9.1%,4.5%,0.0%,0.0%,0.0%,0.0%,90.9%,90.9%,86.4%,90.9%,90.9%,86.4%,19,0,2,1,0,0,0,0,2,2,3,2,2,3,Y,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,827 TACOMA AVE N,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
APOLLO ELEMENTARY,2015-16,100,86.0%,0.0%,3.0%,11.0%,2.0%,9.0%,0.0%,0.0%,92.0%,92.0%,91.0%,92.0%,92.0%,90.0%,86,0,3,11,2,9,0,0,8,8,9,8,8,10,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,15025 SE 117TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
APOLO HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,WINLOCK SCHOOL DISTRICT,241 NORTH MILITARY ROAD,WINLOCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
APP AT LINCOLN,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
APPLE VALLEY ELEMENTARY,2015-16,55,96.4%,0.0%,0.0%,3.6%,1.8%,3.6%,0.0%,0.0%,100.0%,100.0%,98.2%,98.2%,96.4%,98.2%,53,0,0,2,1,2,0,0,0,0,1,1,2,1,Y,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),7 N 88TH AVENUE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2015-16,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,520 NE RAVENNA BLVD,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y
ARBOR HEIGHTS ELEMENTARY SCHOOL,2015-16,75,92.0%,0.0%,6.7%,1.3%,0.0%,1.3%,0.0%,0.0%,97.3%,97.3%,96.0%,97.3%,93.3%,93.3%,69,0,5,1,0,1,0,0,2,2,3,2,5,5,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3701 SW 104 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARBOR SCHOOLS,2015-16,14,85.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,92.9%,100.0%,92.9%,100.0%,100.0%,12,2,0,0,0,0,0,0,1,1,0,1,0,0,Y,PRIVATE SCHOOL,ISSAQUAH SCHOOL DISTRICT,1107 228TH AVE SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,Y,Y
ARCADIA ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,"E. 1120 ""D"" STREET",DEER PARK,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-5,N,N
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,EVERETT SCHOOL DISTRICT,12911 39TH AVE SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARDMORE ELEMENTARY SCHOOL,2015-16,95,90.5%,1.1%,6.3%,2.1%,1.1%,1.1%,0.0%,0.0%,94.7%,94.7%,96.8%,96.8%,96.8%,92.6%,86,1,6,2,1,1,0,0,5,5,3,3,3,7,Y,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,16616 NE 32ND ST.,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARLINGTON CHRISTIAN SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,ARLINGTON SCHOOL DISTRICT,2425 200TH NE,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ARLINGTON ELEMENTARY,2015-16,103,86.4%,4.9%,1.9%,6.8%,0.0%,6.8%,0.0%,0.0%,91.3%,91.3%,90.3%,91.3%,91.3%,89.3%,89,5,2,7,0,7,0,0,9,9,10,9,9,11,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,6363 N SMITH ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
ARLINGTON ELEMENTARY SCHOOL,2015-16,50,92.0%,0.0%,6.0%,2.0%,0.0%,2.0%,0.0%,0.0%,94.0%,98.0%,96.0%,94.0%,98.0%,96.0%,46,0,3,1,0,1,0,0,3,1,2,3,1,2,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,3002 S 72ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARLINGTON HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ARLINGTON SCHOOL DISTRICT,18821 CROWN RIDGE BLVD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARMIN JAHR ELEMENTARY,2015-16,64,79.7%,1.6%,18.8%,0.0%,0.0%,0.0%,0.0%,0.0%,92.2%,92.2%,89.1%,85.9%,93.8%,89.1%,51,1,12,0,0,0,0,0,5,5,7,9,4,7,Y,PUBLIC SCHOOL,BREMERTON SCHOOL DISTRICT,800 DIBB STREET,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
ARROWHEAD ELEMENTARY,2015-16,65,92.3%,1.5%,3.1%,3.1%,0.0%,3.1%,0.0%,0.0%,96.9%,96.9%,98.5%,96.9%,95.4%,93.8%,60,1,2,2,0,2,0,0,2,2,1,2,3,4,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,6725 NE ARROWHEAD DR,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
ARTHUR JACOBSEN ELEMENTARY,2015-16,85,88.2%,0.0%,7.1%,4.7%,1.2%,3.5%,0.0%,0.0%,94.1%,94.1%,94.1%,91.8%,95.3%,94.1%,75,0,6,4,1,3,0,0,5,5,5,7,4,5,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,29205 132ND AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARTONDALE ELEMENTARY SCHOOL,2015-16,68,95.6%,0.0%,0.0%,4.4%,0.0%,4.4%,0.0%,0.0%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,65,0,0,3,0,3,0,0,3,3,3,3,3,3,Y,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,6219 40TH STREET NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARTS AND ACADEMICS ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ARTZ FOX ELEMENTARY,2015-16,80,71.3%,0.0%,28.8%,0.0%,0.0%,0.0%,0.0%,0.0%,78.8%,78.8%,76.3%,77.5%,90.0%,77.5%,57,0,23,0,0,0,0,0,17,17,19,18,8,18,Y,PUBLIC SCHOOL,MABTON SCHOOL DISTRICT,P.O. BOX 40,MABTON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y
ASOTIN ELEMENTARY,2015-16,39,89.7%,2.6%,0.0%,7.7%,2.6%,5.1%,0.0%,0.0%,94.9%,94.9%,92.3%,94.9%,94.9%,89.7%,35,1,0,3,1,2,0,0,2,2,3,2,2,4,Y,PUBLIC SCHOOL,ASOTIN-ANATONE SCHOOL DISTRICT,PO BOX 489,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y
ASOTIN JR SR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ASOTIN-ANATONE SCHOOL DISTRICT,215 SECOND ST,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,7-12,N,N
ASPIRE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,5900 54TH AVE SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
ASSUMPTION CATHOLIC SCHOOL,2015-16,15,86.7%,0.0%,6.7%,6.7%,0.0%,6.7%,0.0%,0.0%,93.3%,100.0%,86.7%,86.7%,93.3%,86.7%,13,0,1,1,0,1,0,0,1,0,2,2,1,2,Y,PRIVATE SCHOOL,BELLINGHAM SCHOOL DISTRICT,2116 CORNWALL AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ASSUMPTION GRADE SCHOOL,2015-16,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,WALLA WALLA PUBLIC SCHOOLS,2066 E ALDER ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
ASSUMPTION SCHOOL,2015-16,23,69.6%,8.7%,4.3%,17.4%,0.0%,17.4%,0.0%,0.0%,73.9%,73.9%,73.9%,78.3%,73.9%,73.9%,16,2,1,4,0,4,0,0,6,6,6,5,6,6,Y,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,3618 W INDIAN TRAIL RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ASSUMPTION ST. BRIDGET,2015-16,45,95.6%,0.0%,0.0%,4.4%,2.2%,2.2%,0.0%,0.0%,97.8%,97.8%,95.6%,95.6%,95.6%,95.6%,43,0,0,2,1,1,0,0,1,1,2,2,2,2,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,6220 32ND AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AUBURN ADVENTIST ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,AUBURN SCHOOL DISTRICT,5000 AUBURN WAY S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN MOUNTAINVIEW HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,28900 124TH AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN RIVERSIDE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,501 ORAVETZ RD SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN SENIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,800 4TH ST NE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUDUBON ELEMENTARY,2015-16,53,83.0%,3.8%,1.9%,11.3%,5.7%,5.7%,0.0%,1.9%,88.7%,88.7%,88.7%,90.6%,92.5%,86.8%,44,2,1,6,3,3,0,1,6,6,6,5,4,7,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,2020 W CARLISLE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
AUDUBON ELEMENTARY,2015-16,110,91.8%,1.8%,5.5%,0.9%,0.0%,0.9%,0.0%,0.0%,95.5%,95.5%,96.4%,95.5%,96.4%,94.5%,101,2,6,1,0,1,0,0,5,5,4,5,4,6,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,3045 180TH NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
AVANTI HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,1113 LEGION WAY SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
AYLEN JR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,101 15TH ST NW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
B F DAY ELEMENTARY SCHOOL,2015-16,46,78.3%,0.0%,15.2%,6.5%,0.0%,6.5%,0.0%,0.0%,91.3%,93.5%,93.5%,89.1%,91.3%,82.6%,36,0,7,3,0,3,0,0,4,3,3,5,4,8,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3921 LINDEN AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BADGER MOUNTAIN ELEMENTARY,2015-16,106,91.5%,0.9%,4.7%,2.8%,0.9%,1.9%,0.0%,0.0%,93.4%,93.4%,94.3%,94.3%,93.4%,95.3%,97,1,5,3,1,2,0,0,7,7,6,6,7,5,Y,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,1515 ELEMENTARY STREET,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
BAILEY GATZERT ELEMENTARY SCHOOL,2015-16,50,76.0%,0.0%,20.0%,4.0%,2.0%,2.0%,0.0%,0.0%,82.0%,82.0%,82.0%,80.0%,86.0%,82.0%,38,0,10,2,1,1,0,0,9,9,9,10,7,9,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1301 E YESLER WY,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BAINBRIDGE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,9330 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BAKER MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,8320 S I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BAKER VIEW CHRISTIAN SCHOOL,2015-16,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,FERNDALE SCHOOL DISTRICT,5353 WASCHKE RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BALBOA ELEMENTARY,2015-16,51,92.2%,2.0%,0.0%,5.9%,2.0%,3.9%,0.0%,0.0%,92.2%,92.2%,94.1%,96.1%,94.1%,94.1%,47,1,0,3,1,2,0,0,4,4,3,2,3,3,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,3010 W HOLYOKE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
BALLARD HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1418 NW 65 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BALLOU JR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,9916 136TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
BARBARA MCCLINTOCK STEM ELEMENTARY,2015-16,149,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,149,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,5706 ROAD 60,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,Y,Y
BARGE-LINCOLN ELEMENTARY SCHOOL,2015-16,116,97.4%,0.9%,0.0%,1.7%,1.7%,0.0%,0.0%,0.0%,98.3%,98.3%,98.3%,98.3%,100.0%,97.4%,113,1,0,2,2,0,0,0,2,2,2,2,0,3,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,219 E I ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
BARKER CENTER,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,13313 E BROADWAY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
BARNES ELEMENTARY,2015-16,60,90.0%,8.3%,0.0%,1.7%,0.0%,1.7%,0.0%,0.0%,91.7%,91.7%,93.3%,91.7%,95.0%,91.7%,54,5,0,1,0,1,0,0,5,5,4,5,3,5,Y,PUBLIC SCHOOL,KELSO SCHOOL DISTRICT,401 BARNES,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BASIN CITY ELEMENTARY,2015-16,51,92.2%,3.9%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,92.2%,92.2%,98.0%,92.2%,96.1%,98.0%,47,2,2,0,0,0,0,0,4,4,1,4,2,1,Y,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,303 BAILIE BLVD,MESA,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
BATTLE GROUND HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
BAY VIEW ELEMENTARY,2015-16,48,79.2%,8.3%,8.3%,4.2%,2.1%,2.1%,0.0%,0.0%,89.6%,89.6%,91.7%,87.5%,83.3%,89.6%,38,4,4,2,1,1,0,0,5,5,4,6,8,5,Y,PUBLIC SCHOOL,BURLINGTON-EDISON SCHOOL DISTRICT,15241 JOSH WILSON RD,BURLINGTON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
BAYVIEW ALTERNATIVE SCHOOL,2015-16,8,12.5%,0.0%,87.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,12.5%,12.5%,12.5%,12.5%,1,0,7,0,0,0,0,0,7,7,7,7,7,7,Y,PUBLIC SCHOOL,SOUTH WHIDBEY SCHOOL DISTRICT,5476 MAXWELTON RD,LANGLEY,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
BEACH ELEM,2015-16,1,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,3786 CENTERVIEW ROAD,LUMMI ISLAND,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
BEACHWOOD ELEMENTARY SCHOOL,2015-16,60,93.3%,3.3%,3.3%,0.0%,0.0%,0.0%,0.0%,0.0%,96.7%,96.7%,98.3%,98.3%,96.7%,98.3%,56,2,2,0,0,0,0,0,2,2,1,1,2,1,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,AMERICAN LK AVE & CONCORD ST,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BEACON AVENUE ELEMENTARY SCHOOL,2015-16,98,69.4%,0.0%,29.6%,1.0%,0.0%,1.0%,0.0%,0.0%,83.7%,83.7%,84.7%,76.5%,88.8%,81.6%,68,0,29,1,0,1,0,0,16,16,15,23,11,18,Y,PUBLIC SCHOOL,MONTESANO SCHOOL DISTRICT,1717 EAST BEACON AVENUE,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N
BEACON HILL ELEMENTARY,2015-16,86,96.5%,1.2%,0.0%,2.3%,0.0%,2.3%,0.0%,0.0%,98.8%,98.8%,97.7%,98.8%,98.8%,97.7%,83,1,0,2,0,2,0,0,1,1,2,1,1,2,Y,PUBLIC SCHOOL,KELSO SCHOOL DISTRICT,257 ALPHA DR,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BEACON HILL INTERNATIONAL SCHOOL,2015-16,73,69.9%,0.0%,28.8%,1.4%,0.0%,2.7%,0.0%,0.0%,83.6%,83.6%,80.8%,78.1%,91.8%,78.1%,51,0,21,1,0,2,0,0,12,12,14,16,6,16,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2025 14 AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BEAR CREEK ELEMENTARY,2015-16,23,78.3%,4.3%,4.3%,13.0%,0.0%,13.0%,0.0%,0.0%,100.0%,100.0%,100.0%,95.7%,87.0%,87.0%,18,1,1,3,0,3,0,0,0,0,0,1,3,3,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,18101 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BEAVER LAKE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,25025 SE 32ND ST,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BEAVER VALLEY SCHOOL,2015-16,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,CASCADE SCHOOL DISTRICT,19265 BEAVER VALLEY RD,LEAVENWORTH,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
