School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
GLACIER PARK ELEMENTARY,2016-17,Y,144,93.8%,1.4%,1.4%,3.5%,0.0%,3.5%,0.0%,0.0%,97.2%,97.2%,96.5%,96.5%,95.1%,95.8%,135,2,2,5,0,5,0,0,4,4,5,5,7,6,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,23700 SE 280TH STREET,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GLACIER PEAK HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
GLACIER VALLEY HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,PO BOX 369,CHELAN,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,
GLACIER VIEW JUNIOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,12807 184TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,0,0,
GLENDALE LUTHERAN SCHOOL,2016-17,Y,8,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,4,0,0,4,0,4,0,0,4,4,4,4,4,4,PRIVATE SCHOOL,HIGHLINE SCHOOL DISTRICT,13455 2ND AVE SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,1,1,
GLENRIDGE ELEMENTARY,2016-17,Y,70,85.7%,1.4%,7.1%,5.7%,1.4%,4.3%,1.4%,0.0%,90.0%,90.0%,90.0%,91.4%,97.1%,90.0%,60,1,5,4,1,3,1,0,7,7,7,6,2,7,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,19405 120TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
GLENWOOD ELEMENTARY,2016-17,Y,4,75.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,100.0%,100.0%,100.0%,75.0%,3,1,0,0,0,0,0,0,1,1,0,0,0,1,PUBLIC SCHOOL,GLENWOOD SCHOOL DISTRICT,PO BOX 12,GLENWOOD,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,1,1,
GLENWOOD ELEMENTARY,2016-17,Y,83,78.3%,2.4%,19.3%,0.0%,0.0%,0.0%,0.0%,0.0%,83.1%,83.1%,85.5%,83.1%,95.2%,85.5%,65,2,16,0,0,0,0,0,14,14,12,14,4,12,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,2221 103 AVE SE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,
GLENWOOD HEIGHTS PRIMARY,2016-17,Y,130,79.2%,1.5%,9.2%,10.0%,0.0%,8.5%,1.5%,0.0%,81.5%,81.5%,83.8%,83.8%,86.9%,83.8%,103,2,12,13,0,11,2,0,24,24,21,21,17,21,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,9716 NE 134TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -4,1,0,
GLENWOOD SECONDARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GLENWOOD SCHOOL DISTRICT,320 BUNNELL ST.,GLENWOOD,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,7-12,0,0,
GLOBAL CONNECTIONS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,4424 SOUTH 188TH STREET,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
GLOVER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,2404 W LONGFELLOW AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,7-8,0,0,
GOLD BAR ELEMENTARY,2016-17,Y,51,60.8%,2.0%,27.5%,9.8%,2.0%,3.9%,3.9%,0.0%,78.4%,78.4%,72.5%,72.5%,80.4%,66.7%,31,1,14,5,1,2,2,0,11,11,14,14,10,17,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,419 LEWIS AVE,GOLD BAR,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,
GOLDENDALE ADVENTIST SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,GOLDENDALE SCHOOL DISTRICT,"47 BICKLETON HIGHWAY
(MAIL: PO BOX 241
GOLDENDALE WA 98620-0241)",GOLDENDALE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,PK-8,,,
GOLDENDALE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GOLDENDALE SCHOOL DISTRICT,525 SIMCOE DR.,GOLDENDALE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,
GOLDENDALE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GOLDENDALE SCHOOL DISTRICT,520 E. COLLINS DR.,GOLDENDALE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,5-8,0,1,
GOLDENDALE PRIMARY SCHOOL,2016-17,Y,61,82.0%,3.3%,0.0%,14.8%,1.6%,4.9%,4.9%,3.3%,83.6%,83.6%,83.6%,85.2%,93.4%,83.6%,50,2,0,9,1,3,3,2,10,10,10,9,4,10,PUBLIC SCHOOL,GOLDENDALE SCHOOL DISTRICT,820 S. SCHUSTER ST,GOLDENDALE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,K -4,1,0,
GONZAGA PREPARATORY SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,1224 E EUCLID AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
GOOD SHEPHERD MONTESSORI,2016-17,Y,4,25.0%,0.0%,0.0%,75.0%,0.0%,75.0%,0.0%,0.0%,50.0%,50.0%,50.0%,75.0%,50.0%,50.0%,1,0,0,3,0,3,0,0,2,2,2,1,2,2,PRIVATE SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),805 SE 145TH AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-K,1,0,
GOODMAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,3701 38TH AVE NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
GOSPEL OUTREACH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,OLYMPIA SCHOOL DISTRICT,1925 SOUTH BAY RD,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,2-12,0,1,
GRACE ACADEMY,2016-17,Y,25,80.0%,0.0%,16.0%,4.0%,0.0%,4.0%,0.0%,0.0%,96.0%,96.0%,96.0%,96.0%,100.0%,96.0%,20,0,4,1,0,1,0,0,1,1,1,1,0,1,PRIVATE SCHOOL,MARYSVILLE SCHOOL DISTRICT,8521 67TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,1,1,
GRACE CHRISTIAN ACADEMY (REPUBLIC),2016-17,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,REPUBLIC SCHOOL DISTRICT,35 NORTH CLARK AVE,REPUBLIC,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K-8,1,1,
GRACE LUTHERAN SCHOOL,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,YAKIMA SCHOOL DISTRICT,1207 S 7TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,1,1,
GRAHAM ELEMENTARY,2016-17,Y,118,87.3%,1.7%,4.2%,6.8%,3.4%,3.4%,0.0%,0.0%,90.7%,90.7%,90.7%,90.7%,90.7%,91.5%,103,2,5,8,4,4,0,0,11,11,11,11,11,10,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,10026 204TH ST E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
GRAHAM HILL ELEMENTARY SCHOOL,2016-17,Y,77,64.9%,0.0%,28.6%,6.5%,6.5%,2.6%,0.0%,0.0%,79.2%,79.2%,80.5%,77.9%,83.1%,76.6%,50,0,22,5,5,2,0,0,16,16,15,17,13,18,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,5149 S GRAHAM ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GRAHAM KAPOWSIN HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,22100 108TH AVE E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,0,0,
GRAINGER ELEMENTARY,2016-17,Y,78,93.6%,0.0%,0.0%,6.4%,0.0%,6.4%,0.0%,0.0%,93.6%,93.6%,93.6%,93.6%,94.9%,93.6%,73,0,0,5,0,5,0,0,5,5,5,5,4,5,PUBLIC SCHOOL,OKANOGAN SCHOOL DISTRICT,1118 5TH AVE S,OKANOGAN,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
GRAND MOUND ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ROCHESTER SCHOOL DISTRICT,7710 JAMES RD SW,ROCHESTER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,0,0,
GRAND RIDGE ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,1739 NE PARK DR,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
GRANDVIEW ADVENTIST JUNIOR ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,GRANDVIEW SCHOOL DISTRICT,106 N ELM ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-8,1,1,
GRANDVIEW HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,1601 W 5TH ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,
GRANDVIEW MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,1401 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,0,1,
GRANGER HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANGER SCHOOL DISTRICT,701 E AVENUE,GRANGER,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,
GRANGER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANGER SCHOOL DISTRICT,701 E AVENUE,GRANGER,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,5-8,0,1,
GRANITE FALLS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANITE FALLS SCHOOL DISTRICT,1401 100TH ST NE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
GRANITE FALLS MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANITE FALLS SCHOOL DISTRICT,205 NORTH ALDER AVENUE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
GRANT ELEMENTARY,2016-17,Y,108,96.3%,0.9%,0.9%,1.9%,0.0%,0.0%,0.9%,0.9%,97.2%,97.2%,98.1%,97.2%,97.2%,96.3%,104,1,1,2,0,0,1,1,3,3,2,3,3,4,PUBLIC SCHOOL,EPHRATA SCHOOL DISTRICT,451 3RD NW,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,1,0,
GRANT ELEMENTARY,2016-17,Y,49,77.6%,4.1%,2.0%,16.3%,4.1%,10.2%,2.0%,0.0%,85.7%,85.7%,87.8%,85.7%,87.8%,81.6%,38,2,1,8,2,5,1,0,7,7,6,7,6,9,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,1300 E 9TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
GRANT ELEMENTARY SCHOOL,2016-17,Y,95,96.8%,0.0%,0.0%,3.2%,0.0%,3.2%,0.0%,0.0%,100.0%,100.0%,100.0%,97.9%,100.0%,98.9%,92,0,0,3,0,3,0,0,0,0,0,2,0,1,PUBLIC SCHOOL,EASTMONT SCHOOL DISTRICT,1430 SE 1ST STREET,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
GRANT ELEMENTARY SCHOOL,2016-17,Y,69,78.3%,1.4%,7.2%,13.0%,1.4%,13.0%,0.0%,0.0%,91.3%,98.6%,89.9%,88.4%,85.5%,84.1%,54,1,5,9,1,9,0,0,6,1,7,8,10,11,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,1018 N PROSPECT ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GRANT STREET ELEMENTARY,2016-17,Y,72,73.6%,1.4%,22.2%,2.8%,0.0%,2.8%,0.0%,0.0%,84.7%,84.7%,88.9%,86.1%,87.5%,86.1%,53,1,16,2,0,2,0,0,11,11,8,10,9,10,PUBLIC SCHOOL,PORT TOWNSEND SCHOOL DISTRICT,1637 GRANT ST,PORT TOWNSEND,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-8,1,1,
GRANTHAM ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,CLARKSTON SCHOOL DISTRICT,1253 POPLAR ST,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,1,1,
GRAPEVIEW ELEMENTARY AND MIDDLE SCHOOL,2016-17,Y,20,80.0%,5.0%,10.0%,5.0%,0.0%,5.0%,0.0%,0.0%,90.0%,90.0%,95.0%,90.0%,95.0%,85.0%,16,1,2,1,0,1,0,0,2,2,1,2,1,3,PUBLIC SCHOOL,GRAPEVIEW SCHOOL DISTRICT,822 E MASON BENSON RD,GRAPEVIEW,MASON,EDUCATIONAL SERVICE DISTRICT 113,K -8,1,1,
GRASS LAKE ELEMENTARY SCHOOL,2016-17,Y,45,91.1%,0.0%,4.4%,4.4%,2.2%,2.2%,0.0%,0.0%,93.3%,93.3%,97.8%,95.6%,95.6%,97.8%,41,0,2,2,1,1,0,0,3,3,1,2,2,1,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,28700 191ST PLACE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
GRASS VALLEY ELEMENTARY SCHOOL,2016-17,Y,82,80.5%,4.9%,1.2%,13.4%,1.2%,11.0%,1.2%,0.0%,85.4%,85.4%,87.8%,85.4%,84.1%,87.8%,66,4,1,11,1,9,1,0,12,12,10,12,13,10,PUBLIC SCHOOL,CAMAS SCHOOL DISTRICT,3000 NE GRASS VALLEY DR,CAMAS,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
GRAY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,6229 S TYLER ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
GRAYS HARBOR ADVENTIST CHRISTIAN SCHOOL,2016-17,Y,2,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,100.0%,50.0%,1,1,0,0,0,0,0,0,1,1,1,1,0,1,PRIVATE SCHOOL,MONTESANO SCHOOL DISTRICT,1216 STATE ROUTE 12,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K-8,1,1,
GREAT NORTHERN ELEMENTARY,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GREAT NORTHERN SCHOOL DISTRICT,3115 N SPOTTED RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
GREATER TRINITY CHRISTIAN LEARNING ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,MUKILTEO SCHOOL DISTRICT,11229 4TH AVE W,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-1,1,0,
GREEN DOT DESTINY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GREEN DOT PUBLIC SCHOOLS WASHINGTON STATE CHARTER DISTRICT,210 S. HUDSON STREET,SEATTLE,KING,OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,6-8,0,1,
GREEN GABLES ELEMENTARY SCHOOL,2016-17,Y,73,79.5%,0.0%,17.8%,2.7%,1.4%,1.4%,0.0%,0.0%,89.0%,89.0%,89.0%,89.0%,89.0%,86.3%,58,0,13,2,1,1,0,0,8,8,8,8,8,10,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,32607 47TH AVE SW,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GREEN LAKE ELEMENTARY SCHOOL,2016-17,Y,91,82.4%,1.1%,12.1%,4.4%,0.0%,4.4%,0.0%,0.0%,91.2%,91.2%,90.1%,92.3%,92.3%,84.6%,75,1,11,4,0,4,0,0,8,8,9,7,7,14,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2400 N 65 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GREEN MOUNTAIN ELEMENTARY,2016-17,Y,56,92.9%,1.8%,1.8%,3.6%,0.0%,1.8%,1.8%,0.0%,94.6%,94.6%,94.6%,94.6%,96.4%,94.6%,52,1,1,2,0,1,1,0,3,3,3,3,2,3,PUBLIC SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,3860 BOUNDARY TRAIL NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,1,1,
GREEN MOUNTAIN SCHOOL,2016-17,Y,18,88.9%,5.6%,0.0%,5.6%,5.6%,0.0%,0.0%,0.0%,94.4%,94.4%,88.9%,94.4%,94.4%,88.9%,16,1,0,1,1,0,0,0,1,1,2,1,1,2,PUBLIC SCHOOL,GREEN MOUNTAIN SCHOOL DISTRICT,13105 NE GRINNEL RD,WOODLAND,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -8,1,1,
GREEN PARK ELEMENTARY SCHOOL,2016-17,Y,63,98.4%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,98.4%,100.0%,62,0,1,0,0,0,0,0,0,0,0,0,1,0,PUBLIC SCHOOL,WALLA WALLA PUBLIC SCHOOLS,1105 E ISAACS AVE,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,
GREEN RIVER MONTESSORI SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,AUBURN SCHOOL DISTRICT,922 12TH ST NE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,
GREENACRES ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,17915 E 4TH AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,1-5,0,0,
GREENACRES MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,17409 E SPRAGUE AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,
GREENWOOD ELEMENTARY SCHOOL,2016-17,Y,58,82.8%,0.0%,13.8%,3.4%,0.0%,3.4%,0.0%,0.0%,96.6%,96.6%,94.8%,93.1%,94.8%,89.7%,48,0,8,2,0,2,0,0,2,2,3,4,3,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,144 NW 80 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GREGORY HEIGHTS ELEMENTARY,2016-17,Y,101,94.1%,1.0%,4.0%,1.0%,0.0%,1.0%,0.0%,0.0%,98.0%,98.0%,96.0%,98.0%,99.0%,96.0%,95,1,4,1,0,1,0,0,2,2,4,2,1,4,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,16201 16TH AVE SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
