School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
MIDWAY ELEMENTARY,2016-17,Y,78,89.7%,0.0%,3.8%,6.4%,0.0%,5.1%,1.3%,0.0%,93.6%,93.6%,92.3%,93.6%,92.3%,91.0%,70,0,3,5,0,4,1,0,5,5,6,5,6,7,PUBLIC SCHOOL,MEAD SCHOOL DISTRICT,821 E MIDWAY RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
MIDWAY ELEMENTARY (MLC/DISCOVER),2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,502 SOUTH C ST,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,1,1,
MILL A ELEMENTARY SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,MILL A SCHOOL DISTRICT,1142 JESSUP ROAD,COOK,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K -8,1,1,
MILL CREEK ELEMENTARY,2016-17,Y,117,92.3%,0.0%,4.3%,3.4%,0.9%,3.4%,0.0%,0.0%,95.7%,95.7%,95.7%,94.9%,94.9%,94.0%,108,0,5,4,1,4,0,0,5,5,5,6,6,7,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,3400 148TH ST. SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
MILL CREEK MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,620 CENTRAL AVE N,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
MILL PLAIN ELEMENTARY SCHOOL,2016-17,Y,68,75.0%,1.5%,17.6%,5.9%,1.5%,4.4%,0.0%,0.0%,79.4%,79.4%,77.9%,79.4%,79.4%,79.4%,51,1,12,4,1,3,0,0,14,14,15,14,14,14,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),400 SE 164TH AVENUE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
MILL POND ELEMENTARY SCHOOL,2016-17,Y,83,68.7%,1.2%,26.5%,3.6%,2.4%,2.4%,0.0%,0.0%,77.1%,77.1%,81.9%,78.3%,86.7%,79.5%,57,1,22,3,2,2,0,0,19,19,15,18,11,17,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,PO BOX 476,YELM,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
MILLENNIUM ELEMENTARY SCHOOL,2016-17,Y,80,92.5%,1.3%,2.5%,3.8%,0.0%,3.8%,0.0%,0.0%,93.8%,93.8%,95.0%,95.0%,96.3%,93.8%,74,1,2,3,0,3,0,0,5,5,4,4,3,5,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,11919 SE 270TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MILLER JUNIOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,100 E LINDSTROM,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-8,0,0,
MILLWOOD KINDERGARTEN CENTER,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (SPOKANE),8818 E GRACE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K,1,0,
