School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
APP AT LINCOLN,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
APPLE VALLEY ELEMENTARY,2013-14,61,91.8%,3.3%,3.3%,1.6%,0.0%,1.6%,0.0%,0.0%,98.4%,98.4%,95.1%,98.4%,95.1%,95.1%,56,2,2,1,0,1,0,0,1,1,3,1,3,3,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),7 N 88TH AVENUE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,520 NE RAVENNA BLVD,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y
ARBOR HEIGHTS ELEMENTARY SCHOOL,2013-14,68,82.4%,1.5%,7.4%,8.8%,1.5%,7.4%,0.0%,0.0%,100.0%,100.0%,89.7%,89.7%,94.1%,83.8%,56,1,5,6,1,5,0,0,0,0,7,7,4,11,Y,SEATTLE PUBLIC SCHOOLS,3701 SW 104 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARBOR SCHOOLS,2013-14,7,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,100.0%,28.6%,42.9%,100.0%,14.3%,0,7,0,0,0,0,0,0,6,0,5,4,0,6,Y,ISSAQUAH SCHOOL DISTRICT,1107 228TH AVE SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,Y,Y
ARCADIA ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,DEER PARK SCHOOL DISTRICT,"E. 1120 ""D"" STREET",DEER PARK,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-5,N,N
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,EVERETT SCHOOL DISTRICT,12911 39TH AVE SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARDMORE ELEMENTARY SCHOOL,2013-14,63,81.0%,0.0%,14.3%,4.8%,0.0%,4.8%,0.0%,0.0%,93.7%,100.0%,92.1%,92.1%,92.1%,88.9%,51,0,9,3,0,3,0,0,4,0,5,5,5,7,Y,BELLEVUE SCHOOL DISTRICT,16616 NE 32ND ST.,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARLINGTON CHRISTIAN SCHOOL,2013-14,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ARLINGTON SCHOOL DISTRICT,2425 200TH NE,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ARLINGTON ELEMENTARY,2013-14,100,73.0%,3.0%,18.0%,6.0%,0.0%,6.0%,0.0%,0.0%,83.0%,83.0%,85.0%,88.0%,94.0%,85.0%,73,3,18,6,0,6,0,0,17,17,15,12,6,15,Y,SPOKANE SCHOOL DISTRICT,6363 N SMITH ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
ARLINGTON ELEMENTARY SCHOOL,2013-14,51,94.1%,0.0%,3.9%,2.0%,2.0%,0.0%,0.0%,0.0%,96.1%,100.0%,98.0%,98.0%,96.1%,94.1%,48,0,2,1,1,0,0,0,2,0,1,1,2,3,Y,TACOMA SCHOOL DISTRICT,3002 S 72ND ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARLINGTON HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ARLINGTON SCHOOL DISTRICT,18821 CROWN RIDGE BLVD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARMIN JAHR ELEMENTARY,2013-14,85,89.4%,1.2%,7.1%,2.4%,0.0%,2.4%,0.0%,0.0%,94.1%,94.1%,95.3%,94.1%,94.1%,94.1%,76,1,6,2,0,2,0,0,5,5,4,5,5,5,Y,BREMERTON SCHOOL DISTRICT,800 DIBB STREET,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
ARROWHEAD ELEMENTARY,2013-14,70,88.6%,0.0%,2.9%,8.6%,2.9%,5.7%,0.0%,0.0%,91.4%,91.4%,91.4%,92.9%,90.0%,88.6%,62,0,2,6,2,4,0,0,6,6,6,5,7,8,Y,NORTHSHORE SCHOOL DISTRICT,6725 NE ARROWHEAD DR,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
ARTHUR JACOBSEN ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AUBURN SCHOOL DISTRICT,29205 132ND AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARTONDALE ELEMENTARY SCHOOL,2013-14,56,87.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,89.3%,89.3%,89.3%,87.5%,89.3%,87.5%,49,0,0,7,0,7,0,0,6,6,6,7,6,7,Y,PENINSULA SCHOOL DISTRICT,6219 40TH STREET NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ARTS AND ACADEMICS ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ARTZ FOX ELEMENTARY,2013-14,80,90.0%,1.3%,8.8%,0.0%,0.0%,0.0%,0.0%,0.0%,96.3%,96.3%,95.0%,95.0%,95.0%,93.8%,72,1,7,0,0,0,0,0,3,3,4,4,4,5,Y,MABTON SCHOOL DISTRICT,P.O. BOX 40,MABTON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y
ASOTIN ELEMENTARY,2013-14,39,89.7%,5.1%,2.6%,2.6%,2.6%,0.0%,0.0%,0.0%,97.4%,97.4%,94.9%,97.4%,100.0%,89.7%,35,2,1,1,1,0,0,0,1,1,2,1,0,4,Y,ASOTIN-ANATONE SCHOOL DISTRICT,PO BOX 489,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y
ASOTIN JR SR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ASOTIN-ANATONE SCHOOL DISTRICT,215 SECOND ST,ASOTIN,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,7-12,N,N
ASPIRE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,5900 54TH AVE SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
ASSUMPTION CATHOLIC SCHOOL,2013-14,22,63.6%,36.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,14,8,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLINGHAM SCHOOL DISTRICT,2116 CORNWALL AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
ASSUMPTION GRADE SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,WALLA WALLA PUBLIC SCHOOLS,2066 E ALDER ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
ASSUMPTION SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,3618 W INDIAN TRAIL RD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ASSUMPTION ST. BRIDGET,2013-14,43,95.3%,0.0%,2.3%,2.3%,0.0%,2.3%,0.0%,0.0%,100.0%,100.0%,100.0%,97.7%,97.7%,97.7%,41,0,1,1,0,1,0,0,0,0,0,1,1,1,Y,SEATTLE PUBLIC SCHOOLS,6220 32ND AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AUBURN ADVENTIST ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,5000 AUBURN WAY S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN MOUNTAINVIEW HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,28900 124TH AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN RIVERSIDE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,501 ORAVETZ RD SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUBURN SENIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,AUBURN SCHOOL DISTRICT,800 4TH ST NE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
AUDUBON ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKE WASHINGTON SCHOOL DISTRICT,3045 180TH NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
AUDUBON ELEMENTARY,2013-14,74,58.1%,0.0%,40.5%,1.4%,0.0%,0.0%,0.0%,0.0%,66.2%,66.2%,79.7%,77.0%,91.9%,74.3%,43,0,30,1,0,0,0,0,25,25,15,17,6,19,Y,SPOKANE SCHOOL DISTRICT,2020 W CARLISLE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
AVANTI HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,1113 LEGION WAY SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
AYLEN JR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUYALLUP SCHOOL DISTRICT,101 15TH ST NW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
B F DAY ELEMENTARY SCHOOL,2013-14,59,72.9%,0.0%,20.3%,6.8%,3.4%,5.1%,0.0%,0.0%,100.0%,100.0%,86.4%,86.4%,88.1%,86.4%,43,0,12,4,2,3,0,0,0,0,8,8,7,8,Y,SEATTLE PUBLIC SCHOOLS,3921 LINDEN AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BADGER MOUNTAIN ELEMENTARY,2013-14,120,88.3%,2.5%,4.2%,5.0%,1.7%,2.5%,0.0%,0.8%,92.5%,92.5%,94.2%,93.3%,93.3%,94.2%,106,3,5,6,2,3,0,1,9,9,7,8,8,7,Y,RICHLAND SCHOOL DISTRICT,1515 ELEMENTARY STREET,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
BAILEY GATZERT ELEMENTARY SCHOOL,2013-14,69,63.8%,0.0%,36.2%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,75.4%,72.5%,82.6%,76.8%,44,0,25,0,0,0,0,0,0,0,17,19,12,16,Y,SEATTLE PUBLIC SCHOOLS,1301 E YESLER WY,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BAINBRIDGE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BAINBRIDGE ISLAND SCHOOL DISTRICT,9330 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BAKER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,8320 S I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BAKER VIEW CHRISTIAN SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FERNDALE SCHOOL DISTRICT,5353 WASCHKE RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BALBOA ELEMENTARY,2013-14,48,75.0%,0.0%,18.8%,6.3%,2.1%,4.2%,0.0%,0.0%,91.7%,91.7%,91.7%,89.6%,93.8%,85.4%,36,0,9,3,1,2,0,0,4,4,4,5,3,7,Y,SPOKANE SCHOOL DISTRICT,3010 W HOLYOKE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
BALLARD HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1418 NW 65 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BALLOU JR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUYALLUP SCHOOL DISTRICT,9916 136TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
BARGE-LINCOLN ELEMENTARY SCHOOL,2013-14,117,82.1%,0.0%,17.9%,0.0%,0.0%,0.0%,0.0%,0.0%,89.7%,89.7%,91.5%,90.6%,94.9%,89.7%,96,0,21,0,0,0,0,0,12,12,10,11,6,12,Y,YAKIMA SCHOOL DISTRICT,219 E I ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
BARKER CENTER,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL VALLEY SCHOOL DISTRICT,13313 E BROADWAY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
BARNES ELEMENTARY,2013-14,68,97.1%,1.5%,0.0%,1.5%,1.5%,0.0%,0.0%,0.0%,97.1%,97.1%,97.1%,97.1%,98.5%,97.1%,66,1,0,1,1,0,0,0,2,2,2,2,1,2,Y,KELSO SCHOOL DISTRICT,401 BARNES,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BASIN CITY ELEMENTARY,2013-14,59,88.1%,1.7%,10.2%,0.0%,0.0%,0.0%,0.0%,0.0%,89.8%,89.8%,89.8%,88.1%,96.6%,91.5%,52,1,6,0,0,0,0,0,6,6,6,7,2,5,Y,NORTH FRANKLIN SCHOOL DISTRICT,303 BAILIE BLVD,MESA,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
BATTLE GROUND HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
BAY VIEW ELEMENTARY,2013-14,76,77.6%,3.9%,14.5%,3.9%,3.9%,0.0%,0.0%,0.0%,88.2%,88.2%,92.1%,86.8%,89.5%,90.8%,59,3,11,3,3,0,0,0,9,9,6,10,8,7,Y,BURLINGTON-EDISON SCHOOL DISTRICT,15241 JOSH WILSON RD,BURLINGTON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
BAYVIEW ALTERNATIVE SCHOOL,2013-14,7,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0,0,7,0,0,0,0,0,7,7,6,7,6,7,Y,SOUTH WHIDBEY SCHOOL DISTRICT,5476 MAXWELTON RD,LANGLEY,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
BEACH ELEM,2013-14,8,50.0%,12.5%,0.0%,37.5%,0.0%,37.5%,0.0%,0.0%,62.5%,62.5%,62.5%,50.0%,62.5%,62.5%,4,1,0,3,0,3,0,0,3,3,3,4,3,3,Y,FERNDALE SCHOOL DISTRICT,3786 CENTERVIEW ROAD,LUMMI ISLAND,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
BEACHWOOD ELEMENTARY SCHOOL,2013-14,103,67.0%,0.0%,32.0%,1.0%,1.0%,0.0%,0.0%,0.0%,86.4%,86.4%,84.5%,87.4%,87.4%,83.5%,69,0,33,1,1,0,0,0,14,14,16,13,13,17,Y,CLOVER PARK SCHOOL DISTRICT,AMERICAN LK AVE & CONCORD ST,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BEACON AVENUE ELEMENTARY SCHOOL,2013-14,89,77.5%,0.0%,13.5%,9.0%,1.1%,7.9%,0.0%,0.0%,86.5%,86.5%,85.4%,82.0%,91.0%,83.1%,69,0,12,8,1,7,0,0,12,12,13,16,8,15,Y,MONTESANO SCHOOL DISTRICT,1717 EAST BEACON AVENUE,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N
BEACON HILL ELEMENTARY,2013-14,78,92.3%,1.3%,0.0%,6.4%,1.3%,5.1%,0.0%,0.0%,94.9%,94.9%,93.6%,93.6%,97.4%,93.6%,72,1,0,5,1,4,0,0,4,4,5,5,2,5,Y,KELSO SCHOOL DISTRICT,257 ALPHA DR,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BEACON HILL INTERNATIONAL SCHOOL,2013-14,75,82.7%,0.0%,13.3%,4.0%,4.0%,0.0%,0.0%,0.0%,100.0%,100.0%,96.0%,90.7%,97.3%,90.7%,62,0,10,3,3,0,0,0,0,0,3,7,2,7,Y,SEATTLE PUBLIC SCHOOLS,2025 14 AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BEAR CREEK ELEMENTARY,2013-14,24,87.5%,4.2%,0.0%,8.3%,0.0%,8.3%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,87.5%,91.7%,21,1,0,2,0,2,0,0,1,1,1,1,3,2,Y,NORTHSHORE SCHOOL DISTRICT,18101 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BEAVER LAKE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,25025 SE 32ND ST,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BEAVER VALLEY SCHOOL,2013-14,14,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CASCADE SCHOOL DISTRICT,19265 BEAVER VALLEY RD,LEAVENWORTH,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
BEEZLEY SPRINGS ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPHRATA SCHOOL DISTRICT,501 C ST NW,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-1,Y,N
BELFAIR ELEMENTARY,2013-14,70,95.7%,0.0%,0.0%,4.3%,1.4%,2.9%,0.0%,0.0%,97.1%,97.1%,97.1%,97.1%,97.1%,95.7%,67,0,0,3,1,2,0,0,2,2,2,2,2,3,Y,NORTH MASON SCHOOL DISTRICT,NE 22900 HWY 3,BELFAIR,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
BELL ELEMENTARY,2013-14,64,65.6%,1.6%,26.6%,6.3%,3.1%,3.1%,0.0%,1.6%,79.7%,79.7%,79.7%,78.1%,87.5%,78.1%,42,1,17,4,2,2,0,1,13,13,13,14,8,14,Y,LAKE WASHINGTON SCHOOL DISTRICT,11212 NE 112TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BELLARMINE PREPARATORY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,2300 S WASHINGTON ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BELLEVUE BIG PICTURE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,14844 SE 22ND STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
BELLEVUE CHILDREN'S ACADEMY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14600 NE 24TH ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14600 NE 24TH ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,2-8,N,Y
BELLEVUE CHRISTIAN MACK ELEMENTARY,2013-14,45,82.2%,0.0%,0.0%,17.8%,2.2%,15.6%,0.0%,0.0%,88.9%,88.9%,84.4%,86.7%,88.9%,86.7%,37,0,0,8,1,7,0,0,5,5,7,6,5,6,Y,NORTHSHORE SCHOOL DISTRICT,18250 168TH PL NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
BELLEVUE CHRISTIAN SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,1601 98TH AVE NE,CLYDE HILL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
BELLEVUE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,10416 WOLVERINE WAY,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
