School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
Bellevue High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellevue School District,10416 Wolverine Way,Bellevue,KING,Puget Sound Educational Service District 121,0,0
WEST AUBURN SENIOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Auburn School District,401 W MAIN ST,Auburn,KING,Puget Sound Educational Service District 121,0,0
RIDGECREST ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shoreline School District,16516 10th Avenue N.E.,Shoreline,KING,Puget Sound Educational Service District 121,1,1
FORDS PRAIRIE ELEMENTARY,2017-18,Y,91,85.7%,0.0%,11.0%,3.3%,0.0%,3.3%,0.0%,0.0%,86.8%,86.8%,90.1%,85.7%,93.4%,90.1%,78,0,10,3,0,3,0,0,12,12,9,13,6,9,Public,Centralia School District,1620 Harrison Avenue,Centralia,LEWIS,Educational Service District 113,1,0
OROVILLE MIDDLE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oroville School District,1008 IRONWOOD ST,OROVILLE,OKANOGAN,North Central Educational Service District 171,0,0
ANACORTES MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Anacortes School District,2202 M Avenue,Anacortes,SKAGIT,Northwest Educational Service District 189,0,0
Madison Elementary,2017-18,Y,51,84.3%,0.0%,2.0%,13.7%,3.9%,5.9%,3.9%,0.0%,84.3%,84.3%,84.3%,84.3%,88.2%,84.3%,43,0,1,7,2,3,2,0,8,8,8,8,6,8,Public,Spokane School District,319 W Nebraska Ave,Spokane,SPOKANE,Educational Service District 101,1,1
KINDERGARTEN CENTER,2017-18,Y,232,85.8%,1.7%,8.2%,4.3%,0.0%,3.4%,0.9%,0.0%,90.9%,90.9%,89.7%,89.2%,93.5%,88.8%,199,4,19,10,0,8,2,0,21,21,24,25,15,26,Public,West Valley School District (Spokane),8818 E Grace,Spokane,SPOKANE,Educational Service District 101,1,0
WAITSBURG ELEMENTARY SCHOOL,2017-18,Y,24,91.7%,4.2%,0.0%,4.2%,0.0%,4.2%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,100.0%,95.8%,22,1,0,1,0,1,0,0,1,1,1,1,0,1,Public,Waitsburg School District,184 Academy,Waitsburg,WALLA WALLA,Educational Service District 123,1,1
BLAINE ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Blaine School District,836 MITCHELL AVE,Blaine,WHATCOM,Northwest Educational Service District 189,0,0
UNION GAP SCHOOL,2017-18,Y,65,98.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.5%,64,1,0,0,0,0,0,0,0,0,0,0,0,1,Public,Union Gap School District,3200 S. 2nd Street,Union Gap,YAKIMA,Educational Service District 105,1,1
HOOVER ELEMENTARY SCHOOL,2017-18,Y,120,96.7%,2.5%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,98.3%,98.3%,100.0%,99.2%,100.0%,98.3%,116,3,1,0,0,0,0,0,2,2,0,1,0,2,Public,Yakima School District,400 W Viola Ave,Yakima,YAKIMA,Educational Service District 105,1,0
WASHINGTON ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sunnyside School District,1110 S. 6th Street,Sunnyside,YAKIMA,Educational Service District 105,0,0
HIGHLAND JUNIOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Highland School District,17000 Summitview Rd,Cowiche,YAKIMA,Educational Service District 105,0,0
RITZVILLE ELEMENTARY,2017-18,Y,28,85.7%,7.1%,3.6%,3.6%,3.6%,0.0%,0.0%,0.0%,92.9%,92.9%,92.9%,100.0%,100.0%,96.4%,24,2,1,1,1,0,0,0,2,2,2,0,0,1,Public,Ritzville School District,401 E 6th Ave.,Ritzville,ADAMS,Educational Service District 101,1,0
CARMICHAEL MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Richland School District,620 Thayer Drive,Richland,BENTON,Educational Service District 123,0,1
Helen Haller Elementary School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sequim School District,350 W. Fir Street,Sequim,CLALLAM,Olympic Educational Service District 114,1,0
MINNEHAHA ELEMENTARY SCHOOL,2017-18,Y,84,85.7%,1.2%,6.0%,7.1%,1.2%,6.0%,0.0%,0.0%,86.9%,85.7%,89.3%,88.1%,91.7%,88.1%,72,1,5,6,1,5,0,0,11,12,9,10,7,10,Public,Vancouver School District,2800 NE 54th ST,Vancouver,CLARK,Educational Service District 112,1,0
EVERGREEN HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Evergreen School District (Clark),14300 NE 18th Street,Vancouver,CLARK,Educational Service District 112,0,0
HELEN BALLER ELEMENTARY SCHOOL,2017-18,Y,83,90.4%,0.0%,1.2%,8.4%,1.2%,6.0%,1.2%,0.0%,91.6%,91.6%,92.8%,91.6%,91.6%,91.6%,75,0,1,7,1,5,1,0,7,7,6,7,7,7,Public,Camas School District,1954 NE Garfield St,Camas,CLARK,Educational Service District 112,1,0
OLYMPIC ELEMENTARY SCHOOL,2017-18,Y,66,93.9%,3.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,95.5%,97.0%,100.0%,95.5%,62,2,2,0,0,0,0,0,3,3,3,2,0,3,Public,Longview School District,1324 30th Avenue,Longview,COWLITZ,Educational Service District 112,1,0
EASTMONT SENIOR HIGH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Eastmont School District,955 3rd Street NE,East Wenatchee,DOUGLAS,North Central Educational Service District 171,0,0
NORTH BEACH HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Beach School District,503 S 7th St,Ocean Shores,GRAYS HARBOR,Educational Service District 113,0,0
ECKSTEIN MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,3003 NE 75 ST,Seattle,KING,Puget Sound Educational Service District 121,0,1
ARBOR HEIGHTS ELEMENTARY SCHOOL,2017-18,Y,99,87.9%,0.0%,11.1%,1.0%,0.0%,1.0%,0.0%,0.0%,91.9%,91.9%,94.9%,90.9%,92.9%,92.9%,87,0,11,1,0,1,0,0,8,8,5,9,7,7,Public,Seattle Public Schools,3701 SW 104 ST,Seattle,KING,Puget Sound Educational Service District 121,1,0
LAFAYETTE ELEMENTARY SCHOOL,2017-18,Y,75,81.3%,1.3%,13.3%,4.0%,0.0%,2.7%,1.3%,0.0%,88.0%,88.0%,86.7%,85.3%,88.0%,85.3%,61,1,10,3,0,2,1,0,9,9,10,11,9,11,Public,Seattle Public Schools,2645 CALIFORNIA AV SW,Seattle,KING,Puget Sound Educational Service District 121,1,0
MCMICKEN HEIGHTS ELEMENTARY,2017-18,Y,92,89.1%,0.0%,10.9%,0.0%,0.0%,0.0%,0.0%,0.0%,91.3%,91.3%,93.5%,92.4%,94.6%,92.4%,82,0,10,0,0,0,0,0,8,8,6,7,5,7,Public,Highline School District,3708 S 168th St,SeaTac,KING,Puget Sound Educational Service District 121,1,1
Clark Elementary,2017-18,Y,103,91.3%,1.0%,0.0%,7.8%,1.0%,6.8%,0.0%,0.0%,94.2%,93.2%,93.2%,93.2%,95.1%,93.2%,94,1,0,8,1,7,0,0,6,7,7,7,5,7,Public,Issaquah School District,500 2ND AVE SE,Issaquah,KING,Puget Sound Educational Service District 121,1,0
LAKE WASHINGTON SR HIGH SCH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,12033 NE 80TH,Kirkland,KING,Puget Sound Educational Service District 121,0,0
LINCOLN ELEMENTARY,2017-18,Y,91,84.6%,0.0%,12.1%,3.3%,0.0%,3.3%,0.0%,0.0%,92.3%,92.3%,91.2%,92.3%,92.3%,87.9%,77,0,11,3,0,3,0,0,7,7,8,7,7,11,Public,Ellensburg School District,200 S. Sampson,Ellensburg,KITTITAS,Educational Service District 105,1,0
Harrington Elementary,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Harrington School District,100 S 1st St,Harrington,LINCOLN,Educational Service District 101,1,1
SOUTHSIDE ELEMENTARY SCHOOL,2017-18,Y,20,85.0%,0.0%,5.0%,10.0%,10.0%,0.0%,0.0%,0.0%,95.0%,95.0%,90.0%,85.0%,85.0%,90.0%,17,0,1,2,2,0,0,0,1,1,2,3,3,2,Public,Southside School District,161 SE COLLIER RD,Shelton,MASON,Educational Service District 113,1,1
EVERGREEN ELEMENTARY,2017-18,Y,110,72.7%,4.5%,21.8%,0.9%,0.9%,0.0%,0.0%,0.0%,83.6%,83.6%,85.5%,84.5%,90.0%,78.2%,80,5,24,1,1,0,0,0,18,18,16,17,11,24,Public,Shelton School District,900 W. Franklin St.,Shelton,MASON,Educational Service District 113,1,0
Geiger Montessori School,2017-18,Y,84,89.3%,0.0%,2.4%,8.3%,3.6%,6.0%,0.0%,0.0%,94.0%,96.4%,89.3%,94.0%,95.2%,89.3%,75,0,2,7,3,5,0,0,5,3,9,5,4,9,Public,Tacoma School District,621 S Jackson Ave,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
Downing Elementary School,2017-18,Y,47,74.5%,0.0%,21.3%,4.3%,0.0%,4.3%,0.0%,0.0%,91.5%,100.0%,83.0%,87.2%,87.2%,80.9%,35,0,10,2,0,2,0,0,4,0,8,6,6,9,Public,Tacoma School District,2502 N Orchard St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
KAPOWSIN ELEMENTARY,2017-18,Y,55,92.7%,1.8%,1.8%,3.6%,0.0%,3.6%,0.0%,0.0%,92.7%,92.7%,94.5%,92.7%,94.5%,94.5%,51,1,1,2,0,2,0,0,4,4,3,4,3,3,Public,Bethel School District,10412 264th St E,Graham,PIERCE,Puget Sound Educational Service District 121,1,1
ORCAS ELEMENTARY,2017-18,Y,20,20.0%,0.0%,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.0%,35.0%,35.0%,35.0%,50.0%,25.0%,4,0,16,0,0,0,0,0,13,13,13,13,10,15,Public,Orcas Island School District,611 SCHOOL RD,Eastsound,SAN JUAN,Northwest Educational Service District 189,1,1
ORCAS ISLAND HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Orcas Island School District,715 SCHOOL RD,Eastsound,SAN JUAN,Northwest Educational Service District 189,0,0
JACKSON ELEMENTARY SCHOOL,2017-18,Y,66,86.4%,0.0%,9.1%,4.5%,1.5%,3.0%,0.0%,0.0%,89.4%,89.4%,90.9%,87.9%,92.4%,87.9%,57,0,6,3,1,2,0,0,7,7,6,8,5,8,Public,Everett School District,3700 Federal Ave,Everett,SNOHOMISH,Northwest Educational Service District 189,1,0
WHITTIER ELEMENTARY,2017-18,Y,64,89.1%,0.0%,4.7%,6.3%,0.0%,6.3%,0.0%,0.0%,90.6%,90.6%,90.6%,89.1%,93.8%,90.6%,57,0,3,4,0,4,0,0,6,6,6,7,4,6,Public,Everett School District,916 Oakes Ave.,Everett,SNOHOMISH,Northwest Educational Service District 189,1,0
SOUTH BAY ELEMENTARY,2017-18,Y,102,93.1%,0.0%,3.9%,2.9%,0.0%,2.9%,0.0%,0.0%,96.1%,96.1%,95.1%,95.1%,97.1%,94.1%,95,0,4,3,0,3,0,0,4,4,5,5,3,6,Public,North Thurston Public Schools,3845 Sleater Kinney Rd NE,Lacey,THURSTON,Educational Service District 113,1,1
THOMPSON ELEMENTARY SCHOOL,2017-18,Y,81,80.2%,0.0%,19.8%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,93.8%,93.8%,93.8%,100.0%,90.1%,65,0,16,0,0,0,0,0,5,5,5,5,0,8,Public,Grandview School District,1105 W 2nd ST,Grandview,YAKIMA,Educational Service District 105,1,0
SATUS ELEMENTARY,2017-18,Y,90,98.9%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,98.9%,98.9%,98.9%,98.9%,100.0%,98.9%,89,0,1,0,0,0,0,0,1,1,1,1,0,1,Public,Wapato School District,910 S. Camas Avenue,Wapato,YAKIMA,Educational Service District 105,1,0
MOUNTAINVIEW ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Yakima),830 Stone Rd,Yakima,YAKIMA,Educational Service District 105,1,0
KIONA-BENTON PRIMARY SCHOOL,2017-18,Y,106,83.0%,0.0%,15.1%,1.9%,0.0%,1.9%,0.0%,0.0%,85.8%,85.8%,86.8%,84.0%,91.5%,86.8%,88,0,16,2,0,2,0,0,15,15,14,17,9,14,Public,Kiona-Benton City School District,1107 Grace Avenue,Benton City,BENTON,Educational Service District 123,1,0
CASTLE ROCK PRIMARY,2017-18,Y,96,88.5%,5.2%,2.1%,4.2%,0.0%,4.2%,0.0%,0.0%,90.6%,90.6%,93.8%,91.7%,97.9%,93.8%,85,5,2,4,0,4,0,0,9,9,6,8,2,6,Public,Castle Rock School District,700 HUNTINGTON AVE S,Castle Rock,COWLITZ,Educational Service District 112,1,1
ROBERT GRAY ELEMENTARY,2017-18,Y,42,92.9%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,100.0%,92.9%,39,3,0,0,0,0,0,0,3,3,3,3,0,3,Public,Aberdeen School District,1516 North B St,Aberdeen,GRAYS HARBOR,Educational Service District 113,1,1
BEVERLY PARK ELEM AT GLENDALE,2017-18,Y,67,97.0%,1.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,98.5%,98.5%,98.5%,100.0%,100.0%,97.0%,65,1,1,0,0,0,0,0,1,1,1,0,0,2,Public,Highline School District,1201 S 104th St,Seattle,KING,Puget Sound Educational Service District 121,1,1
KITTITAS SECONDARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kittitas School District,7571 Kittitas Hwy,Kittitas,KITTITAS,Educational Service District 105,0,1
WASHINGTON ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Centralia School District,800 Field Street,Centralia,LEWIS,Educational Service District 113,1,1
P C JANTZ ELEMENTARY,2017-18,Y,24,87.5%,0.0%,4.2%,8.3%,0.0%,8.3%,0.0%,0.0%,91.7%,91.7%,95.8%,91.7%,100.0%,91.7%,21,0,1,2,0,2,0,0,2,2,1,2,0,2,Public,Odessa School District,311 S 1st St,Odessa,LINCOLN,Educational Service District 101,1,1
Bess Herian Elementary,2017-18,Y,10,60.0%,10.0%,20.0%,10.0%,0.0%,10.0%,0.0%,0.0%,80.0%,80.0%,70.0%,80.0%,70.0%,80.0%,6,1,2,1,0,1,0,0,2,2,3,2,3,2,Public,Cusick School District,305 MONUMENTAL WAY,CUSICK,PEND OREILLE,Educational Service District 101,1,1
Lister Elementary School,2017-18,Y,57,89.5%,0.0%,10.5%,0.0%,0.0%,0.0%,0.0%,0.0%,96.5%,100.0%,93.0%,96.5%,98.2%,89.5%,51,0,6,0,0,0,0,0,2,0,4,2,1,6,Public,Tacoma School District,2106 E 44th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
Fawcett Elementary School,2017-18,Y,66,87.9%,1.5%,9.1%,1.5%,0.0%,0.0%,1.5%,0.0%,95.5%,93.9%,93.9%,95.5%,98.5%,93.9%,58,1,6,1,0,0,1,0,3,4,4,3,1,4,Public,Tacoma School District,126 E 60th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
FIFE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Fife School District,5616 20th St E,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
MARY PURCELL ELEMENTARY SCHOOL,2017-18,Y,48,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,48,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sedro-Woolley School District,700 Bennett Street,Sedro-Woolley,SKAGIT,Northwest Educational Service District 189,1,1
North Pines Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Central Valley School District,701 N. Pines Rd.,Spokane,SPOKANE,Educational Service District 101,0,1
ROOSEVELT ELEMENTARY,2017-18,Y,63,66.7%,3.2%,23.8%,6.3%,0.0%,4.8%,1.6%,0.0%,74.6%,74.6%,74.6%,76.2%,76.2%,71.4%,42,2,15,4,0,3,1,0,16,16,16,15,15,18,Public,Olympia School District,1417 SAN FRANCISCO AVE NE,Olympia,THURSTON,Educational Service District 113,1,0
PIONEER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Walla Walla Public Schools,450 BRIDGE ST,Walla Walla,WALLA WALLA,Educational Service District 123,0,1
HILTON ELEMENTARY SCHOOL,2017-18,Y,95,90.5%,0.0%,7.4%,2.1%,1.1%,1.1%,0.0%,0.0%,93.7%,93.7%,92.6%,93.7%,94.7%,93.7%,86,0,7,2,1,1,0,0,6,6,7,6,5,6,Public,Zillah School District,211 Fourth Ave,Zillah,YAKIMA,Educational Service District 105,1,0
CHIEF JOSEPH MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Richland School District,504 Wilson,Richland,BENTON,Educational Service District 123,0,1
JASON LEE ELEMENTARY SCHOOL,2017-18,Y,89,94.4%,2.2%,2.2%,1.1%,0.0%,1.1%,0.0%,0.0%,97.8%,97.8%,96.6%,97.8%,98.9%,96.6%,84,2,2,1,0,1,0,0,2,2,3,2,1,3,Public,Richland School District,1702 Van Giesen,Richland,BENTON,Educational Service District 123,1,0
VALE ELEMENTARY SCHOOL,2017-18,Y,114,96.5%,0.0%,0.9%,2.6%,0.9%,1.8%,0.0%,0.0%,98.2%,97.4%,100.0%,98.2%,97.4%,100.0%,110,0,1,3,1,2,0,0,2,3,0,2,3,0,Public,Cashmere School District,101 Pioneer Avenue,Cashmere,CHELAN,North Central Educational Service District 171,1,0
BRIDGEPORT HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bridgeport School District,1220 Kryger Ave,Bridgeport,DOUGLAS,North Central Educational Service District 171,0,0
REPUBLIC ELEMENTARY SCHOOL,2017-18,Y,27,81.5%,0.0%,11.1%,7.4%,0.0%,7.4%,0.0%,0.0%,85.2%,85.2%,81.5%,85.2%,88.9%,81.5%,22,0,3,2,0,2,0,0,4,4,5,4,3,5,Public,Republic School District,30306 E HIGHWAY 20,Republic,FERRY,Educational Service District 101,1,0
LONGFELLOW ELEMENTARY,2017-18,Y,57,98.2%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.2%,56,1,0,0,0,0,0,0,0,0,0,0,0,1,Public,Pasco School District,301 NORTH 10TH AVENUE,Pasco,FRANKLIN,Educational Service District 123,1,1
WARDEN ELEMENTARY,2017-18,Y,67,88.1%,0.0%,10.4%,1.5%,0.0%,1.5%,0.0%,0.0%,91.0%,91.0%,88.1%,89.6%,98.5%,89.6%,59,0,7,1,0,1,0,0,6,6,8,7,1,7,Public,Warden School District,101 W. BECK WAY,Warden,GRANT,North Central Educational Service District 171,1,0
COLUMBIA RIDGE ELEMENTARY,2017-18,Y,85,94.1%,1.2%,4.7%,0.0%,0.0%,0.0%,0.0%,0.0%,95.3%,95.3%,95.3%,95.3%,100.0%,95.3%,80,1,4,0,0,0,0,0,4,4,4,4,0,4,Public,Ephrata School District,60 H SE,Ephrata,GRANT,North Central Educational Service District 171,1,0
CLOVER VALLEY ELEMENTARY,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oak Harbor School District,3201 N Saratoga St,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,0
AUBURN SR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Auburn School District,800 4TH ST NE,Auburn,KING,Puget Sound Educational Service District 121,0,0
JUANITA ELEMENTARY,2017-18,Y,53,58.5%,0.0%,35.8%,5.7%,1.9%,3.8%,0.0%,0.0%,81.1%,81.1%,79.2%,71.7%,90.6%,79.2%,31,0,19,3,1,2,0,0,10,10,11,15,5,11,Public,Lake Washington School District,9635 NE 132nd,Kirkland,KING,Puget Sound Educational Service District 121,1,0
Kent-Meridian High,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kent School District,10020 SE 256th ST,Kent,KING,Puget Sound Educational Service District 121,0,0
DAVID WOLFLE ELEMENTARY,2017-18,Y,53,98.1%,0.0%,0.0%,1.9%,1.9%,1.9%,0.0%,0.0%,98.1%,98.1%,98.1%,98.1%,100.0%,98.1%,52,0,0,1,1,1,0,0,1,1,1,1,0,1,Public,North Kitsap School District,27089 HIGHLAND RD NE,Kingston,KITSAP,Olympic Educational Service District 114,1,0
W F WEST HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Chehalis School District,342 SW 16th Street,Chehalis,LEWIS,Educational Service District 113,0,0
BREWSTER HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Brewster School District,503 S 7th St,Brewster,OKANOGAN,North Central Educational Service District 171,0,0
LAKE ROOSEVELT JR/SR HIGH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grand Coulee Dam School District,500 CIVIC WAY,Coulee Dam,OKANOGAN,North Central Educational Service District 171,0,0
LAKE ROOSEVELT ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grand Coulee Dam School District,503 Crest Drive,Grand Coulee,GRANT,North Central Educational Service District 171,1,0
RAYMOND ELEMENTARY SCHOOL,2017-18,Y,37,86.5%,0.0%,8.1%,5.4%,2.7%,2.7%,0.0%,0.0%,89.2%,89.2%,86.5%,91.9%,97.3%,91.9%,32,0,3,2,1,1,0,0,4,4,5,3,1,3,Public,Raymond School District,921 Commercial Street,Raymond,PACIFIC,Educational Service District 113,1,1
CHAUNCEY DAVIS ELEMENTARY,2017-18,Y,38,89.5%,5.3%,5.3%,0.0%,0.0%,0.0%,0.0%,0.0%,89.5%,89.5%,94.7%,92.1%,97.4%,94.7%,34,2,2,0,0,0,0,0,4,4,2,3,1,2,Public,South Bend School District,500 1st St,South Bend,PACIFIC,Educational Service District 113,1,1
Lowell Elementary School,2017-18,Y,64,93.8%,0.0%,0.0%,6.3%,1.6%,4.7%,0.0%,0.0%,95.3%,96.9%,93.8%,93.8%,95.3%,93.8%,60,0,0,4,1,3,0,0,3,2,4,4,3,4,Public,Tacoma School District,810 N 13th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
Reed Elementary School,2017-18,Y,69,88.4%,0.0%,8.7%,2.9%,0.0%,2.9%,0.0%,0.0%,89.9%,98.6%,92.8%,91.3%,94.2%,91.3%,61,0,6,2,0,2,0,0,7,1,5,6,4,6,Public,Tacoma School District,1802 S 36th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
BETHEL HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bethel School District,22215 38th Ave E,Spanaway,PIERCE,Puget Sound Educational Service District 121,0,0
COLUMBIA CREST,2017-18,Y,18,72.2%,11.1%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,72.2%,72.2%,77.8%,83.3%,100.0%,77.8%,13,2,3,0,0,0,0,0,5,5,4,3,0,4,Public,Eatonville School District,24503 State Route 706 E,Ashford,PIERCE,Puget Sound Educational Service District 121,1,1
ENDEAVOUR INTERMEDIATE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Fife School District,1304 17th Avenue,Milton,PIERCE,Puget Sound Educational Service District 121,0,0
CONCRETE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Concrete School District,7830 S Superior Ave,Concrete,SKAGIT,Northwest Educational Service District 189,0,0
LOWELL ELEMENTARY,2017-18,Y,71,85.9%,2.8%,2.8%,8.5%,0.0%,7.0%,0.0%,1.4%,88.7%,88.7%,88.7%,88.7%,90.1%,88.7%,61,2,2,6,0,5,0,1,8,8,8,8,7,8,Public,Everett School District,5010 View Dr.,Everett,SNOHOMISH,Northwest Educational Service District 189,1,0
TOTEM MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Marysville School District,1605 7th St,Marysville,SNOHOMISH,Northwest Educational Service District 189,0,1
SUNSET ELEMENTARY,2017-18,Y,72,79.2%,2.8%,15.3%,2.8%,0.0%,2.8%,0.0%,0.0%,83.3%,83.3%,81.9%,83.3%,86.1%,80.6%,57,2,11,2,0,2,0,0,12,12,13,12,10,14,Public,Cheney School District,12824 W 12th St,Airway Heights,SPOKANE,Educational Service District 101,1,0
LITTLEROCK ELEMENTARY,2017-18,Y,46,95.7%,0.0%,2.2%,2.2%,0.0%,2.2%,0.0%,0.0%,100.0%,100.0%,97.8%,95.7%,97.8%,97.8%,44,0,1,1,0,1,0,0,0,0,1,2,1,1,Public,Tumwater School District,Box C,Littlerock,THURSTON,Educational Service District 113,1,1
